"node_id","cluster_id","doi","pmid"
3425054,1,"10.1016/s0960-9822(03)00010-1",12573220
2910015,1,"10.1016/s1534-5807(03)00025-x",12586064
5137169,1,"10.1261/rna.2183803",12592000
1074231,1,"10.1002/biot.200800194",19156746
5529245,1,"10.1038/nature07754",19158785
6158378,1,"10.1038/nature07755",19158786
6267684,1,"10.1038/nature07756",19158787
2303005,1,"10.1080/10428190802535114",19160125
1238048,1,"10.1038/nmeth.1247",19160516
593844,1,"10.1038/nrm2621",19165214
3482939,1,"10.1038/nrm2632",19165215
2667077,1,"10.1016/j.cell.2008.12.023",19167051
3645914,1,"10.1016/j.cell.2009.01.002",19167326
4238889,1,"10.1038/nsmb.1475",19172742
4911510,1,"10.7150/ijbs.5.97",19173032
489773,1,"10.1101/gad.1749809",19174539
1791397,1,"10.1111/j.1582-4934.2008.00510.x",19175697
4625867,1,"10.1111/j.1582-4934.2008.00534.x",19175698
2839279,1,"10.1111/j.1582-4934.2008.00556.x",19175699
5410043,1,"10.1111/j.1582-4934.2008.00520.x",19175700
1103464,1,"10.1038/nsmb.1552",19182800
357830,1,"10.1016/s0960-9822(03)00281-1",12725739
3685130,1,"10.1016/s0960-9822(03)00250-1",12725740
3475227,1,"10.1016/s1534-5807(03)00127-8",12737799
4335359,1,"10.1016/s1534-5807(03)00124-2",12737800
3563069,1,"10.1016/s0960-9822(03)00287-2",12747828
4760749,1,"10.1016/s0960-9822(03)00293-8",12747833
30535,1,"10.1016/j.anireprosci.2012.08.009",22921265
5266827,1,"10.1007/s00018-012-1129-8",22936352
2731153,1,"10.1101/gad.981002",11959843
2299757,1,"10.1016/s0960-9822(02)00792-3",11967158
5927722,1,"10.1105/tpc.010480",11971140
788198,1,"10.1101/cshperspect.a032771",29959194
4347287,1,"10.1016/j.ccr.2007.12.008",18167339
5279123,1,"10.1073/pnas.0710869105",18178619
6469309,1,"10.1038/nature06487",18185580
4828000,1,"10.1182/blood-2007-07-098749",18187662
462793,1,"10.1016/j.cell.2007.12.024",18191211
1711028,1,"10.1016/j.tibtech.2007.11.007",18191262
256601,1,"10.1016/j.forsciint.2010.07.002",20674199
2120087,1,"10.1016/j.jmb.2010.07.051",20678503
2721096,1,"10.1007/s00216-010-4018-8",20680616
3682139,1,"10.1007/978-1-60761-769-3_2",20686940
3903729,1,"10.1146/annurev-phyto-073009-114457",20687832
1782805,1,"10.1073/pnas.1006432107",20699384
3688495,1,"10.2174/156652411794859250",21342132
6278921,1,"10.1038/nature07086",18548003
2852186,1,"10.1016/j.tplants.2008.04.009",18550416
3713719,1,"10.1093/cvr/cvn156",18550634
3845427,1,"10.1073/pnas.0802493105",18550839
119764,1,"10.1016/j.coi.2008.05.005",18554884
3508061,1,"10.1371/journal.pone.0002436",18560586
941076,1,"10.1016/j.tplants.2008.05.004",18565786
3936322,1,"10.1261/rna.1155108",18566191
4646077,1,"10.1126/science.1155390",18566288
4342303,1,"10.1016/j.molcel.2008.06.003",18571451
5795365,1,"10.1002/jcp.25854",28181241
4577555,1,"10.1182/blood-2006-01-012369",16849646
5427911,1,"10.1186/1476-4598-5-29",16854228
2867667,1,"10.1105/tpc.106.041673",16861386
1011746,1,"10.1111/j.1469-8137.2006.01806.x",16866953
3691393,1,"10.1038/ng1855",16878133
3201324,1,"10.1126/science.1061334",11423650
3729639,1,"10.1038/nsmb.2931",25565029
5172381,1,"10.1111/pbi.12318",25583362
2079686,1,"10.2165/11585010-000000000-00000",21222494
2233019,1,"10.1016/j.molcel.2008.10.013",18995836
3980515,1,"10.1093/nar/gkn851",18996891
